year,stateFull,state,Affiliation
1988,WEST VIRGINIA,WV,DIVIDED
1988,WISCONSIN,WI,DIVIDED
1988,WYOMING,WY,REPUBLICAN
1992,ALABAMA,AL,REPUBLICAN
1992,ALASKA,AK,REPUBLICAN
1992,ARIZONA,AZ,DIVIDED
1992,ARKANSAS,AR,DEMOCRAT
1992,CALIFORNIA,CA,DEMOCRAT
1992,COLORADO,CO,DIVIDED
1992,CONNECTICUT,CT,DEMOCRAT
1992,DELAWARE,DE,DEMOCRAT
1992,DISTRICT OF COLUMBIA,DC,DEMOCRAT
1992,FLORIDA,FL,DIVIDED
1992,GEORGIA,GA,DIVIDED
1992,HAWAII,HI,DEMOCRAT
1992,IDAHO,ID,REPUBLICAN
1992,ILLINOIS,IL,DEMOCRAT
1992,INDIANA,IN,REPUBLICAN
1992,IOWA,IA,DEMOCRAT
1992,KANSAS,KS,REPUBLICAN
1992,KENTUCKY,KY,DIVIDED
1992,LOUISIANA,LA,DIVIDED
1992,MAINE,ME,DEMOCRAT
1992,MARYLAND,MD,DEMOCRAT
1992,MASSACHUSETTS,MA,DEMOCRAT
1992,MICHIGAN,MI,DEMOCRAT
1992,MINNESOTA,MN,DEMOCRAT
1992,MISSISSIPPI,MS,REPUBLICAN
1992,MISSOURI,MO,DEMOCRAT
1992,MONTANA,MT,DIVIDED
1992,NEBRASKA,NE,REPUBLICAN
1992,NEVADA,NV,DIVIDED
1992,NEW HAMPSHIRE,NH,DIVIDED
1992,NEW JERSEY,NJ,DIVIDED
1992,NEW MEXICO,NM,DEMOCRAT
1992,NEW YORK,NY,DEMOCRAT
1992,NORTH CAROLINA,NC,DIVIDED
1992,NORTH DAKOTA,ND,REPUBLICAN
1992,OHIO,OH,DIVIDED
1992,OKLAHOMA,OK,REPUBLICAN
1992,OREGON,OR,DEMOCRAT
1992,PENNSYLVANIA,PA,DEMOCRAT
1992,RHODE ISLAND,RI,DEMOCRAT
1992,SOUTH CAROLINA,SC,DIVIDED
1992,SOUTH DAKOTA,SD,DIVIDED
1992,TENNESSEE,TN,DIVIDED
1992,TEXAS,TX,DIVIDED
1992,UTAH,UT,REPUBLICAN
1992,VERMONT,VT,DEMOCRAT
1992,VIRGINIA,VA,DIVIDED
1992,WASHINGTON,WA,DEMOCRAT
1992,WEST VIRGINIA,WV,DEMOCRAT
1992,WISCONSIN,WI,DIVIDED
1992,WYOMING,WY,REPUBLICAN
1996,ALABAMA,AL,REPUBLICAN
1996,ALASKA,AK,REPUBLICAN
1996,ARIZONA,AZ,DIVIDED
1996,ARKANSAS,AR,DEMOCRAT
1996,CALIFORNIA,CA,DEMOCRAT
1996,COLORADO,CO,DIVIDED
1996,CONNECTICUT,CT,DEMOCRAT
1996,DELAWARE,DE,DEMOCRAT
1996,DISTRICT OF COLUMBIA,DC,DEMOCRAT
1996,FLORIDA,FL,DEMOCRAT
1996,GEORGIA,GA,DIVIDED
1996,HAWAII,HI,DEMOCRAT
1996,IDAHO,ID,REPUBLICAN
1996,ILLINOIS,IL,DEMOCRAT
1996,INDIANA,IN,REPUBLICAN
1996,IOWA,IA,DEMOCRAT
1996,KANSAS,KS,REPUBLICAN
1996,KENTUCKY,KY,DIVIDED
1996,LOUISIANA,LA,DEMOCRAT
1996,MAINE,ME,DEMOCRAT
1996,MARYLAND,MD,DEMOCRAT
1996,MASSACHUSETTS,MA,DEMOCRAT
1996,MICHIGAN,MI,DEMOCRAT
1996,MINNESOTA,MN,DEMOCRAT
1996,MISSISSIPPI,MS,REPUBLICAN
1996,MISSOURI,MO,DEMOCRAT
1996,MONTANA,MT,DIVIDED
1996,NEBRASKA,NE,REPUBLICAN
1996,NEVADA,NV,DIVIDED
1996,NEW HAMPSHIRE,NH,DEMOCRAT
1996,NEW JERSEY,NJ,DEMOCRAT
1996,NEW MEXICO,NM,DEMOCRAT
1996,NEW YORK,NY,DEMOCRAT
1996,NORTH CAROLINA,NC,DIVIDED
1996,NORTH DAKOTA,ND,REPUBLICAN
1996,OHIO,OH,DEMOCRAT
1996,OKLAHOMA,OK,REPUBLICAN
1996,OREGON,OR,DEMOCRAT
1996,PENNSYLVANIA,PA,DEMOCRAT
1996,RHODE ISLAND,RI,DEMOCRAT
1996,SOUTH CAROLINA,SC,REPUBLICAN
1996,SOUTH DAKOTA,SD,DIVIDED
1996,TENNESSEE,TN,DIVIDED
1996,TEXAS,TX,DIVIDED
1996,UTAH,UT,REPUBLICAN
1996,VERMONT,VT,DEMOCRAT
1996,VIRGINIA,VA,DIVIDED
1996,WASHINGTON,WA,DEMOCRAT
1996,WEST VIRGINIA,WV,DEMOCRAT
1996,WISCONSIN,WI,DEMOCRAT
1996,WYOMING,WY,REPUBLICAN
2000,ALABAMA,AL,REPUBLICAN
2000,ALASKA,AK,REPUBLICAN
2000,ARIZONA,AZ,REPUBLICAN
2000,ARKANSAS,AR,REPUBLICAN
2000,CALIFORNIA,CA,DEMOCRAT
2000,COLORADO,CO,REPUBLICAN
2000,CONNECTICUT,CT,DEMOCRAT
2000,DELAWARE,DE,DEMOCRAT
2000,DISTRICT OF COLUMBIA,DC,DEMOCRAT
2000,FLORIDA,FL,DIVIDED
2000,GEORGIA,GA,REPUBLICAN
2000,HAWAII,HI,DEMOCRAT
2000,IDAHO,ID,REPUBLICAN
2000,ILLINOIS,IL,DEMOCRAT
2000,INDIANA,IN,REPUBLICAN
2000,IOWA,IA,DIVIDED
2000,KANSAS,KS,REPUBLICAN
2000,KENTUCKY,KY,REPUBLICAN
2000,LOUISIANA,LA,REPUBLICAN
2000,MAINE,ME,DEMOCRAT
2000,MARYLAND,MD,DEMOCRAT
2000,MASSACHUSETTS,MA,DEMOCRAT
2000,MICHIGAN,MI,DEMOCRAT
2000,MINNESOTA,MN,DIVIDED
2000,MISSISSIPPI,MS,REPUBLICAN
2000,MISSOURI,MO,DIVIDED
2000,MONTANA,MT,REPUBLICAN
2000,NEBRASKA,NE,REPUBLICAN
2000,NEVADA,NV,DIVIDED
2000,NEW HAMPSHIRE,NH,DIVIDED
2000,NEW JERSEY,NJ,DEMOCRAT
2000,NEW MEXICO,NM,DIVIDED
2000,NEW YORK,NY,DEMOCRAT
2000,NORTH CAROLINA,NC,REPUBLICAN
2000,NORTH DAKOTA,ND,REPUBLICAN
2000,OHIO,OH,DIVIDED
2000,OKLAHOMA,OK,REPUBLICAN
2000,OREGON,OR,DIVIDED
2000,PENNSYLVANIA,PA,DIVIDED
2000,RHODE ISLAND,RI,DEMOCRAT
2000,SOUTH CAROLINA,SC,REPUBLICAN
2000,SOUTH DAKOTA,SD,REPUBLICAN
2000,TENNESSEE,TN,DIVIDED
2000,TEXAS,TX,REPUBLICAN
2000,UTAH,UT,REPUBLICAN
2000,VERMONT,VT,DEMOCRAT
2000,VIRGINIA,VA,REPUBLICAN
2000,WASHINGTON,WA,DEMOCRAT
2000,WEST VIRGINIA,WV,REPUBLICAN
2000,WISCONSIN,WI,DIVIDED
2000,WYOMING,WY,REPUBLICAN
2004,ALABAMA,AL,REPUBLICAN
2004,ALASKA,AK,REPUBLICAN
2004,ARIZONA,AZ,REPUBLICAN
2004,ARKANSAS,AR,REPUBLICAN
2004,CALIFORNIA,CA,DEMOCRAT
2004,COLORADO,CO,DIVIDED
2004,CONNECTICUT,CT,DEMOCRAT
2004,DELAWARE,DE,DEMOCRAT
2004,DISTRICT OF COLUMBIA,DC,DEMOCRAT
2004,FLORIDA,FL,REPUBLICAN
2004,GEORGIA,GA,REPUBLICAN
2004,HAWAII,HI,DEMOCRAT
2004,IDAHO,ID,REPUBLICAN
2004,ILLINOIS,IL,DEMOCRAT
2004,INDIANA,IN,REPUBLICAN
2004,IOWA,IA,DIVIDED
2004,KANSAS,KS,REPUBLICAN
2004,KENTUCKY,KY,REPUBLICAN
2004,LOUISIANA,LA,REPUBLICAN
2004,MAINE,ME,DEMOCRAT
2004,MARYLAND,MD,DEMOCRAT
2004,MASSACHUSETTS,MA,DEMOCRAT
2004,MICHIGAN,MI,DIVIDED
2004,MINNESOTA,MN,DIVIDED
2004,MISSISSIPPI,MS,REPUBLICAN
2004,MISSOURI,MO,REPUBLICAN
2004,MONTANA,MT,REPUBLICAN
2004,NEBRASKA,NE,REPUBLICAN
2004,NEVADA,NV,DIVIDED
2004,NEW HAMPSHIRE,NH,DIVIDED
2004,NEW JERSEY,NJ,DEMOCRAT
2004,NEW MEXICO,NM,DIVIDED
2004,NEW YORK,NY,DEMOCRAT
2004,NORTH CAROLINA,NC,REPUBLICAN
2004,NORTH DAKOTA,ND,REPUBLICAN
2004,OHIO,OH,DIVIDED
2004,OKLAHOMA,OK,REPUBLICAN
2004,OREGON,OR,DIVIDED
2004,PENNSYLVANIA,PA,DIVIDED
2004,RHODE ISLAND,RI,DEMOCRAT
2004,SOUTH CAROLINA,SC,REPUBLICAN
2004,SOUTH DAKOTA,SD,REPUBLICAN
2004,TENNESSEE,TN,REPUBLICAN
2004,TEXAS,TX,REPUBLICAN
2004,UTAH,UT,REPUBLICAN
2004,VERMONT,VT,DEMOCRAT
2004,VIRGINIA,VA,REPUBLICAN
2004,WASHINGTON,WA,DEMOCRAT
2004,WEST VIRGINIA,WV,REPUBLICAN
2004,WISCONSIN,WI,DIVIDED
2004,WYOMING,WY,REPUBLICAN
2008,ALABAMA,AL,REPUBLICAN
2008,ALASKA,AK,REPUBLICAN
2008,ARIZONA,AZ,REPUBLICAN
2008,ARKANSAS,AR,REPUBLICAN
2008,CALIFORNIA,CA,DEMOCRAT
2008,COLORADO,CO,DEMOCRAT
2008,CONNECTICUT,CT,DEMOCRAT
2008,DELAWARE,DE,DEMOCRAT
2008,DISTRICT OF COLUMBIA,DC,DEMOCRAT
2008,FLORIDA,FL,DIVIDED
2008,GEORGIA,GA,REPUBLICAN
2008,HAWAII,HI,DEMOCRAT
2008,IDAHO,ID,REPUBLICAN
2008,ILLINOIS,IL,DEMOCRAT
2008,INDIANA,IN,DIVIDED
2008,IOWA,IA,DEMOCRAT
2008,KANSAS,KS,REPUBLICAN
2008,KENTUCKY,KY,REPUBLICAN
2008,LOUISIANA,LA,REPUBLICAN
2008,MAINE,ME,DEMOCRAT
2008,MARYLAND,MD,DEMOCRAT
2008,MASSACHUSETTS,MA,DEMOCRAT
2008,MICHIGAN,MI,DEMOCRAT
2008,MINNESOTA,MN,DEMOCRAT
2008,MISSISSIPPI,MS,REPUBLICAN
2008,MISSOURI,MO,DIVIDED
2008,MONTANA,MT,DIVIDED
2008,NEBRASKA,NE,REPUBLICAN
2008,NEVADA,NV,DEMOCRAT
2008,NEW HAMPSHIRE,NH,DEMOCRAT
2008,NEW JERSEY,NJ,DEMOCRAT
2008,NEW MEXICO,NM,DEMOCRAT
2008,NEW YORK,NY,DEMOCRAT
2008,NORTH CAROLINA,NC,DIVIDED
2008,NORTH DAKOTA,ND,REPUBLICAN
2008,OHIO,OH,DIVIDED
2008,OKLAHOMA,OK,REPUBLICAN
2008,OREGON,OR,DEMOCRAT
2008,PENNSYLVANIA,PA,DEMOCRAT
2008,RHODE ISLAND,RI,DEMOCRAT
2008,SOUTH CAROLINA,SC,REPUBLICAN
2008,SOUTH DAKOTA,SD,REPUBLICAN
2008,TENNESSEE,TN,REPUBLICAN
2008,TEXAS,TX,REPUBLICAN
2008,UTAH,UT,REPUBLICAN
2008,VERMONT,VT,DEMOCRAT
2008,VIRGINIA,VA,DEMOCRAT
2008,WASHINGTON,WA,DEMOCRAT
2008,WEST VIRGINIA,WV,REPUBLICAN
2008,WISCONSIN,WI,DEMOCRAT
2008,WYOMING,WY,REPUBLICAN
2012,ALABAMA,AL,REPUBLICAN
2012,ALASKA,AK,REPUBLICAN
2012,ARIZONA,AZ,REPUBLICAN
2012,ARKANSAS,AR,REPUBLICAN
2012,CALIFORNIA,CA,DEMOCRAT
2012,COLORADO,CO,DEMOCRAT
2012,CONNECTICUT,CT,DEMOCRAT
2012,DELAWARE,DE,DEMOCRAT
2012,DISTRICT OF COLUMBIA,DC,DEMOCRAT
2012,FLORIDA,FL,DIVIDED
2012,GEORGIA,GA,REPUBLICAN
2012,HAWAII,HI,DEMOCRAT
2012,IDAHO,ID,REPUBLICAN
2012,ILLINOIS,IL,DEMOCRAT
2012,INDIANA,IN,REPUBLICAN
2012,IOWA,IA,DEMOCRAT
2012,KANSAS,KS,REPUBLICAN
2012,KENTUCKY,KY,REPUBLICAN
2012,LOUISIANA,LA,REPUBLICAN
2012,MAINE,ME,DEMOCRAT
2012,MARYLAND,MD,DEMOCRAT
2012,MASSACHUSETTS,MA,DEMOCRAT
2012,MICHIGAN,MI,DEMOCRAT
2012,MINNESOTA,MN,DEMOCRAT
2012,MISSISSIPPI,MS,REPUBLICAN
2012,MISSOURI,MO,REPUBLICAN
2012,MONTANA,MT,REPUBLICAN
2012,NEBRASKA,NE,REPUBLICAN
2012,NEVADA,NV,DEMOCRAT
2012,NEW HAMPSHIRE,NH,DEMOCRAT
2012,NEW JERSEY,NJ,DEMOCRAT
2012,NEW MEXICO,NM,DEMOCRAT
2012,NEW YORK,NY,DEMOCRAT
2012,NORTH CAROLINA,NC,DIVIDED
2012,NORTH DAKOTA,ND,REPUBLICAN
2012,OHIO,OH,DIVIDED
2012,OKLAHOMA,OK,REPUBLICAN
2012,OREGON,OR,DEMOCRAT
2012,PENNSYLVANIA,PA,DEMOCRAT
2012,RHODE ISLAND,RI,DEMOCRAT
2012,SOUTH CAROLINA,SC,REPUBLICAN
2012,SOUTH DAKOTA,SD,REPUBLICAN
2012,TENNESSEE,TN,REPUBLICAN
2012,TEXAS,TX,REPUBLICAN
2012,UTAH,UT,REPUBLICAN
2012,VERMONT,VT,DEMOCRAT
2012,VIRGINIA,VA,DIVIDED
2012,WASHINGTON,WA,DEMOCRAT
2012,WEST VIRGINIA,WV,REPUBLICAN
2012,WISCONSIN,WI,DEMOCRAT
2012,WYOMING,WY,REPUBLICAN
2016,ALABAMA,AL,REPUBLICAN
2016,ALASKA,AK,REPUBLICAN
2016,ARIZONA,AZ,DIVIDED
2016,ARKANSAS,AR,REPUBLICAN
2016,CALIFORNIA,CA,DEMOCRAT
2016,COLORADO,CO,DIVIDED
2016,CONNECTICUT,CT,DEMOCRAT
2016,DELAWARE,DE,DEMOCRAT
2016,DISTRICT OF COLUMBIA,DC,DEMOCRAT
2016,FLORIDA,FL,DIVIDED
2016,GEORGIA,GA,REPUBLICAN
2016,HAWAII,HI,DEMOCRAT
2016,IDAHO,ID,REPUBLICAN
2016,ILLINOIS,IL,DEMOCRAT
2016,INDIANA,IN,REPUBLICAN
2016,IOWA,IA,REPUBLICAN
2016,KANSAS,KS,REPUBLICAN
2016,KENTUCKY,KY,REPUBLICAN
2016,LOUISIANA,LA,REPUBLICAN
2016,MAINE,ME,DIVIDED
2016,MARYLAND,MD,DEMOCRAT
2016,MASSACHUSETTS,MA,DEMOCRAT
2016,MICHIGAN,MI,DIVIDED
2016,MINNESOTA,MN,DIVIDED
2016,MISSISSIPPI,MS,REPUBLICAN
2016,MISSOURI,MO,REPUBLICAN
2016,MONTANA,MT,REPUBLICAN
2016,NEBRASKA,NE,REPUBLICAN
2016,NEVADA,NV,DIVIDED
2016,NEW HAMPSHIRE,NH,DIVIDED
2016,NEW JERSEY,NJ,DEMOCRAT
2016,NEW MEXICO,NM,DEMOCRAT
2016,NEW YORK,NY,DEMOCRAT
2016,NORTH CAROLINA,NC,DIVIDED
2016,NORTH DAKOTA,ND,REPUBLICAN
2016,OHIO,OH,REPUBLICAN
2016,OKLAHOMA,OK,REPUBLICAN
2016,OREGON,OR,DEMOCRAT
2016,PENNSYLVANIA,PA,DIVIDED
2016,RHODE ISLAND,RI,DEMOCRAT
2016,SOUTH CAROLINA,SC,REPUBLICAN
2016,SOUTH DAKOTA,SD,REPUBLICAN
2016,TENNESSEE,TN,REPUBLICAN
2016,TEXAS,TX,REPUBLICAN
2016,UTAH,UT,REPUBLICAN
2016,VERMONT,VT,DEMOCRAT
2016,VIRGINIA,VA,DEMOCRAT
2016,WASHINGTON,WA,DEMOCRAT
2016,WEST VIRGINIA,WV,REPUBLICAN
2016,WISCONSIN,WI,DIVIDED
2016,WYOMING,WY,REPUBLICAN
2020,ALABAMA,AL,REPUBLICAN
2020,ALASKA,AK,REPUBLICAN
2020,ARIZONA,AZ,DIVIDED
2020,ARKANSAS,AR,REPUBLICAN
2020,CALIFORNIA,CA,DEMOCRAT
2020,COLORADO,CO,DEMOCRAT
2020,CONNECTICUT,CT,DEMOCRAT
2020,DELAWARE,DE,DEMOCRAT
2020,DISTRICT OF COLUMBIA,DC,DEMOCRAT
2020,FLORIDA,FL,DIVIDED
2020,GEORGIA,GA,DIVIDED
2020,HAWAII,HI,DEMOCRAT
2020,IDAHO,ID,REPUBLICAN
2020,ILLINOIS,IL,DEMOCRAT
2020,INDIANA,IN,REPUBLICAN
2020,IOWA,IA,REPUBLICAN
2020,KANSAS,KS,REPUBLICAN
2020,KENTUCKY,KY,REPUBLICAN
2020,LOUISIANA,LA,REPUBLICAN
2020,MAINE,ME,DEMOCRAT
2020,MARYLAND,MD,DEMOCRAT
2020,MASSACHUSETTS,MA,DEMOCRAT
2020,MICHIGAN,MI,DIVIDED
2020,MINNESOTA,MN,DEMOCRAT
2020,MISSISSIPPI,MS,REPUBLICAN
2020,MISSOURI,MO,REPUBLICAN
2020,MONTANA,MT,REPUBLICAN
2020,NEBRASKA,NE,REPUBLICAN
2020,NEVADA,NV,DIVIDED
2020,NEW HAMPSHIRE,NH,DEMOCRAT
2020,NEW JERSEY,NJ,DEMOCRAT
2020,NEW MEXICO,NM,DEMOCRAT
2020,NEW YORK,NY,DEMOCRAT
2020,NORTH CAROLINA,NC,DIVIDED
2020,NORTH DAKOTA,ND,REPUBLICAN
2020,OHIO,OH,REPUBLICAN
2020,OKLAHOMA,OK,REPUBLICAN
2020,OREGON,OR,DEMOCRAT
2020,PENNSYLVANIA,PA,DIVIDED
2020,RHODE ISLAND,RI,DEMOCRAT
2020,SOUTH CAROLINA,SC,REPUBLICAN
2020,SOUTH DAKOTA,SD,REPUBLICAN
2020,TENNESSEE,TN,REPUBLICAN
2020,TEXAS,TX,REPUBLICAN
2020,UTAH,UT,REPUBLICAN
2020,VERMONT,VT,DEMOCRAT
2020,VIRGINIA,VA,DEMOCRAT
2020,WASHINGTON,WA,DEMOCRAT
2020,WEST VIRGINIA,WV,REPUBLICAN
2020,WISCONSIN,WI,DIVIDED
2020,WYOMING,WY,REPUBLICAN
